TEMA DE PETICION;
RESPUESTA PETICION RADICADO;
;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 05 al 09 de marzo de 2018;
REMISI&Oacute;N DE ESCRITO DE LA  SE&Ntilde;ORA MARIA DEL CARMEN CASTILLO VARGAS.;
Respuesta oficio del 29 de diciembre de 2017 REF: radicado 2017-10-2216, radicado SAC2018PQR37 del 03/01/2018;
Respuesta oficio de 2/02/2018 radicado 2018-10-173.  Radicado SAC2018PQR3793 de 12/02/2018;
;
Respuesta oficio de 05/02/2018 - radicado 2018-10-52 , Radicado SAC2018PQR3893 DE 13/02/2018;
RESPUESTA OFICIO DE 6/03/2018 REF: RADICADO 2018- 1152, RADICADO SAC2018PQR6169 DE 09/03/2018, CASO  I:E SAN JOSE.;
Respuesta oficio seguimiento plan accion IMDRI ;
TRASLADOS DE HALLAZGOS DISCIPLINARIOS, RESULTADOS DE PROCESO DE AUDITOR&Iacute;A REGULAR I.E ALBERTO CASTILLA, 335, 336, 337, 338 Y 339.;
CON OFICIO 291 DEL 24 DE ENERO DE 2018 DEVUELVE EL OFICIO 10554 DEL 4 DE DICIEMBRE DE 2017 JUNTO CON LOS ANEXOS, PARA QUE SE ORDENE  INVESTIGACI&Oacute;N DISCIPLINARIA  INTERNA CONTRA LA DRA. MILDRES MEDINA POR QUEJA DEL SE&Ntilde;OR LUIS ARTURO ARANGO MA;
;
;
INFORMACI&Oacute;N ARRENDAMIENTO ESTADIO MANUEL MURILLO TORO ;
RESPUESTA RADICACION 2018-14376;
RESPUESTA RADICADO 2018-10-1664;
;
RESPUESTA A OFICIO V.A.G.P 666 DE 11/04/2018, RADICADO SAC2018PQR9430 DE 17/04/2018;
radicado de la personeria VAGP-OF 38 DEL 27 DE DICIEMBRE DE 2017 DOCTORA ZULIA YADIRA PELAEZ BARRAGAN ASUNTO: SEGUIMIENTO A PETICION 10735 DEL 30 DE OCTUBRE DE 2017 
RADICADO IBAL 2376 DEL 01 DE FEBRERO DE 2018;
RESPUESTA A PETICION CON RADICADO NÂº 2018-18408;
Imcorporacion queja al proceso 44 17 en averiguacion responsables;
Respuesta oficiode 15 /03/2018, cumplimiento Acuerdo 025 de 2012 - REF: radicado 2018-681 , radicado SAC2018PQR5099 de 28/02/2018;
CON OFICIO 504 DEL 8 DE FEBRERO DE 2018, SE DA TRASLADO DE LA QUEJA DEL DOCTOR CESAR  AUGUSTO TRIANA MORENO CONTRA LA INSPECCI&Oacute;N SEGUNDA URBANA MUNICIPAL DE POLIC&Iacute;A DE IBAGU&Eacute;, POR PRESUNTAMENTE NO DAR TR&Aacute;MITE A SUS ESCRITOS COM;
Respuesta a oficio con numero de radicado 2018-10312 - Remision por competencia a la Direccion de Tesoreria;
RESPUESTA A OFICIO 10547 DE DICIEMBRE 4 DE 2017.;
;
RESPUESTA A SUS REQUERIMIENTOS ELEVADOS AL IBAL S.A. E.S.P. OFICIAL;
DILIGENCIA 2018-10-1628 (0296) - Solicitud intervencion del caso de la senor (a) MARIA BIANNEL GUEPENDO
430-07549-1 - Ibague, 19 de Abril de 2018
;
RESPUESTA OFICIO DE 26 DE DICIEMBRE DE 2017 RADICACI&Oacute;N 2017-10-2245- RADICADO SAC2017PQR1151 DE 19 DE ENERO DE 2018;
Buen dia, acabo de consultar en la pagina web de la alcaldia el valor del impuesto predial, y la verdad NO ESTOY DE ACUERDO CON EL VALOR ES EXAGERADAMENTE ALTO EQUIVALENTE AL 100%.


Mi queja y peticion es que  no es posible para mi pagar el doble ;
Respuesta radicado 2017-11687;
Traslado de hallazgo disciplinario No. 014 de 2018, Institucion Educativa Modelia;
COPIA RESPUESTA A LA DILIGENCIA No. 00373-18 (0077) DEL 30 DE ENERO DEL 2018 Y RADICADO EN EL IBAL EL 02 DE FEBRERO DE 2018 CON EL NUMERO 02556 VENTANILLA UNICA;
RESPUESTA OFICIO V.A.G.P - 361 DE 02/03/2018, REF: RADICADO 2018-10-51, RADICADO SAC2018PQR7053 DE 21/03/2018. MAPA DE RIESGOS DE ANTICORRUPCION;
Solicitud de proteccion y vigilancia del Derecho de peticion 20180000PQR6738 radicado ante la Secretaria de Educacion de Ibague el 15 de marzo de 2018, solicitando que cumplan con los 10 dias habiles que se;
;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague, del 15 al 19 enero 2018;
Reciba un cordial saludo por parte de los integrantes del Grupo de Proteccion a la Infancia y Adolescencia METIB, deseandole exitos en su valiosa labor, la presente es con el fin de solicitar a su despacho tenga a bien asignar un Grup;
;
RADICADO DE PRUEBA SANDER CADENA NO VALIDAR;
Rta oficio V.G.A.P.-OF-648 Expediente Disciplinario 1471/2016;
ATA DE ATENCI&Oacute;N DE LA SE&Ntilde;ORA MARLENY PARRA DONDE SOLICITA INTERVENCI&Oacute;N ANTE LA COMISARIA PERMANENTE;
RESPUESTA OFICIO 6/02/2018 RADICADO 2018-10-489 - V.A.G.P OF 109 - PETICI&Oacute;N 2018-8573 ,RADICADO SAC2018PQR3733 DE 12/02/2018;
Respuesta oficio con numero de radicado 2018-10312;
;
SE ANEXA RESPUESTA AL RADICADO DE LA PERSONERIA NO 00140-18 (0031) DEL 22 DE ENERO DE 2018 Y RADICADO ANTE EL IBAL SA ESP OFICIAL No 01591 DEL 24 DE ENERO DE 2018, CON ACTO ADMINISTRATIVO 552-2468 DEL 06 DE  FEBRERO DE 2018;
;
Informacion Veeduria ;
EN RESPUESTA AL RAD N. 00445-18 (0086) RAD EN ESTA EMPRESA CON EL NÂ°. 2865 SE ENV&Iacute;A ACTO ADMINISTRATIVO 430-03315 DEL 16/02/2018 EN EL CUAL NO SE ACCEDE A LAS PETICIONES  TODA VEZ QUE SE REVISO  EL SISTEMA DE INFORMACI&Oacute;N COMERCIAL  DE LA ;
ACTA DE ATENCI&Oacute;N DE LA SE&Ntilde;ORA BLANCA FLOR SERRANO DE FLOREZ DONDE SOLICITA VISITA ESPECIAL E INTERVENCI&Oacute;N ANTE EL INPEC ;
CON OFICIO nO. 0802 DEL 26 DE FEBRERO DE 2018, SE DA RESPUESTA AL OFICIO V.A.G.P 219. EXPEDIENTE  DIGITAL  No. 2018-10-800;
;
Senores
PERSONER&Iacute;A MUNICIPAL

Asunto: Solicitud acompanamiento registro Centro Especializado

Reciba un cordial saludo por parte de los integrantes del Grupo de Proteccion a la Infancia y Adolescencia METIB, deseandole &;
Respuesta expediente disciplinario 1542-2017 , bajo radicado interno 237;
vvvvvv;
radicacion de prueba;
TRASLADO ENVIADO POR EL MINISTERIO DE DEFENSA NACIONAL.;
EL SE&Ntilde;OR FREDY RODRIGUEZ MATEUS Y OTROS MIEMBROS DE LA JUNTA DEL SINDICATO ASOCIACION DE TRABAJADORES AL SERVICIO DE LA UNIDAD DE SALUD DE IBAGUE - ASOUSI-, ALLEGAN ESCRITO DIRIGIDO A MULTIPLES ENTIDADES, DONDE COMUNICAN LA PRESENTACION DEL PLIEGO ;
Asunto: Reporte de caso por abandono.

Comedidamente solicitamos su acompanamiento en el caso MARCO AURELIO RODRIGUEZ ARANGO  con cedula de ciudadania 2.888.664,  paciente de 82 anos que se encuentra hospitalizado en la clinica;
Solicitud Documentacion;
;
solicitud de informacion referente a la senora FRANCY ESPINOSA.;
Solicitud Autorizacion para el ingreso del senor Manuel Alejandro Lozano como dependiente judicial de Luis Fernando Toro y Piedad Ines Zapata;
Solicitud de documentos dentro del expediente disciplinario NÂ° 1579-2017 ;
;
RESPUESTA OFICIO V.A.G.P-OFICIO 444 DE 09/03/2018, REF: RADICADO 2018-10-1273, RADICADO SAC2018PQR6937 DE 20/03/2018
;
Solicitud de documentos expediente Disciplinario NÂ° 1558/2017  V.A.G.P O.F-165;
;
solicitud acompanamiento registro preventivo Politecnico Luis A. Rengifo;
;
Con oficio  678   del 16 de febrero de  2018,, se remite copia de escrito suscrito por RAFAEL y presentando a esa Personeria Municipal el pasado 29 de enero de 2018, para que haga parte del radicado 2018-10-367, relacionada con queja  contra la fun;
CON OFICIO 664 DEL 15 DE FEBRERO DE 2018, SE REMITE QUEJA DEL JOVEN JOS&Eacute;  LUIS ARENAS G&Oacute;MEZ, ESTUDIANTE DEL COLEGIO INEM,QUIEN CUENTA HECHOS ATRIBUIBLES A VARIOS DOCENTES Y ADMINISTRATIVOS DEL CITADO CENTRO EDUCATIVO.;
;
RESPUESTA OFICIO DE 27 DE DICIEMBRE DE 2017 - RADICADO 2017-10-2066 Y RADICADO SAC2018PQR289 DE 09 DE ENERO DE 2018 PETICI&Oacute;N DE LAMBERTO GARCIA;
Respuesta oficio 1082 bajo interno 550 del IMDRI ;
SE ALLEGAN LOS DOCUMENTOS ADJUNTOS QUE SE ENCONTRABAN PENDIENTES A LA RESPUESTA DADA AL RADICADO DE PERSONER&Iacute;A 140-18(0031), CONTESTADO POR LA EMPRESA IBAL SA ESP OFICIAL, CON OFICIO 552-2468 DEL 06 DE FEBRERO DE 2018. A NOMBRE DEL USUARIO MIRO IGN;
RESPUESTA OFICIO V.A.G.P-223 DE 2018 REFE:RADICACION 2422/2017, RADICADO SAC2017PQR4911 DE 26/02/2017;
CON OFICIO 805 DEL 26 DE FEBRERO DE 2018, SE DA RESPUESTA A OFICIO V.A.G.P.  OF-251 DEL 19 DE FEBRERO DE 2018.  EXPEDIENTE No. 1573-2017.;
;
En atencion  a la solicitud  Rad  No. 07334 Ibal del 05/04/2018  se envia respuesta segun acto adtivo 430-07350 del 17/05/2018  ;
Ibague, 12 de enero de 2018



CORONEL:
OSCAR HERNANDO MORALES VILLAMIZAR
Policia Metropolitana Ibague
C.C: Dra.: OLGA PARDO
Supervisora contrato de aporte # 652 
INSTITUTO COLOMBIAON DE BIENESTAR FAMILIAR
CC: PERSONERIA MUNICIPAL
CC:;
Respuesta Radicado 2018-35402 - 2018-10-725;
CON OFICIO No. 0806  DEL 26 DE FEBRERO DE 2018, SE DA RESPUESTA A OFICIO  VA.G.P. 220 DE FEBRERO 14 DE 2018. EXPEDIENTE DIGITAL  2018-10-802.;
Con oficio 561 del 13 de febrero de 2018, da traslado copia del oficio con radicado GGN No. 20174000035141 de junio 28 de 2017, suscrito por el Contador General de la nacion, doctor PEDRO LUIS BOHORQUEZ RAMIREZ, para que se adelante  las acciones a;
RESPUESTA RADICACION 2018-15766 - DILIGENCIA 501-18(149);
Ajunto se envia respuesta del acto adtivo 430-05138 de 13 de marzo de 2018 correspondiente a su solciitud de rad 2018-10-1560(0267) de 02/04/2018;
RESPUESTA OFICIO V.A.G.P of 492 - radicacion 7531/2017, Radicado SAC2018PQR8115 DE 04/04/2018;
Queja presentada por el senor JOSE DOMINGO AMADO ante Contraloria Municipal y Remitida a la Personeria  ;
;
Respuesta oficio con numero de radicado 2018-21921 - DILIGENCIA 2046-18(172);
;
;
RESPUESTA RADICADO 2018-14299;
con oficio 559 del 13 de febrero de 2018 se remite copia de derecho de peticion del senor FERNANDO YAIMA y sus anexos ,de enero 8 de 2018, para que adelante las acciones a que hubiere lugar,ante la Secretaria de Gobierno e Inspeccion ;
Informe semanal de resoluciones expedidas por la oficina del Curador Urbano No. 2 de Ibague en el periodo del 19 al 23 de febrero de 2018;
RESPUESTA OFICIO INT 355 DE 12/04/2018- DILIGENCIA 2018-10-1942 -RADICADO SAC2018PQR9377 DE 16/04/2018;
ACTA DE ATENCION DE LA SE&Ntilde;ORA NELSY OSPINA CARDONA DONDE SOLICITA INTERVENCION ANTE LA SECRETARIA DE BIENESTAR SOCIAL DE IBAGUE - PROGRAMA ADULTO MAYOR;
RESPUESTA OFICIO NÂ°1040-2017-1214
RESPUESTA AL REQUERIMIENTO DE LA SE&Ntilde;ORA YOLANDA OROZCO;
;
Informe semanal de resoluciones expedidas por la oficina del curador urbano No. 2 de Ibague, en el periodo del 22 al 26 de enero de 2018;
Factura sobre el soporte, mantenimiento y actualizaciones requeridas para el periodo 2018 del SGDEA;
;
CON OFICIO 812 DEL 27 DE FEBRERO DE 2018, SE DA TRASLADO DE QUEJA DEL SE&Ntilde;OR LUIS ALFREDO GUTIERREZ GONZALEZ CONTRA LA DIRECCI&Oacute;N DE ESPACIO P&Uacute;BLICO Y CONTROL URBANO DE IBAGU&Eacute;, POR PRESUNTAS IRREGULARIDADES DENTRO DEL PROCESO ADM;
;
SRS.
PEROSNERIA IBAGUE.-TOLIMA.



REF_:RADICADO 2017-1465, DENTRO DE LA SOLICITUD PETICI&Oacute;N DE COADYUVANCIA A LA ACCION DE TUTELA EN CONTRA DE ALVARO VARGAS, YESID LOZANO Y ALICIA LOZANO

CORDIAL SALUDO,

ME PERMITO INFORMAR POR MEDIO DE LA PRESENT;
Respuesta oficio de 05/02/2018- radcado 2018-10-52, RAICADO SAC2018PQR3893 DE 13/02/2018;
RESPUESTA A RADICADO No. 00258-18 (0051);
Respueta Tramite queja interpuesta por presunto acoso laborarl interpuesta por Sergio Andres Marroquin -  - Oficio NÂ°. 10386 - Queja con radicado 7259 14 de septiembre de 2017;
CON OFICIO No. 842 DEL 27 DE FEBRERO DE 2018, DA TRASLADO DE LA QUEJA DEL SE&Ntilde;OR ALFONSO AYALA ESCOBAR, RECTOR DE LA INSTITUCI&Oacute;N EDUCATIVA T&Eacute;CNICA ANTONIO REYES UMA&Ntilde;A, QUIEN DA CUENTA  QUE LOS DOCENTES DE ESE CENTRO EDUCATIVO DE;
;
Traslado Informe Definitivo Auditoria Regular vigencia 2016 - Personeria Municipal de Ibague;
