Asunto;Radicado;Serie Documental;Sub-Serie documental;
TRASLADO PRO COMPETENCIA- E-2022-709552-DERECHO DE PETICION CONTRA LA NUEVA EPS POR TRASLADO DE PACIENTE A EXAMEN DE ALERGIOLOGIA PRESENTADO POR EL SE&NtildeOR JAIME GARCIA GONZALEZ-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO PRO COMPETENCIA- E-2022-716143-PROCESO PARD PERDIDA DE COMPETENCIA RADICADO 73001-31-10-004-2022-00434-00-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO PRO COMPETENCIA- E-2022-711707 SOLICITUD DE INTERVENCION EN EL PARD RAD:2022.00426.00-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO PRO COMPETENCIA- E-2022-721623-DENUNCIA DISCIPLINARIA CONTRA EL ALCALDE ANDRES FABIAN HURTADO Y DIRECTOR DE JUSTICIA ERNESTO ORTIZ AGUILAR POR PRESUNTAS EXTRALIMITACIONES DE SUS CARGOS-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO PRO COMPETENCIA- E-2022-743966-RESPUESTA A DERECHO DE PETICION RADICADO 2022-10-5140 PRESENTADA POR EL SE&NtildeOR JAIME GARCIA GONZALEZ-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO PRO COMPETENCIA- E-2022-733335-SOLICITUD DE INVESTIGACION Y SANCION DE L INSPECCION SEGUNDA URBANA DE IBAGUE POR QUERELLA POLICIVA DE LA SE&NtildeORA NILSA SALGUERA PEREZ RADICADO 0283-2018 CONTRA HERIBERTO PEDRAZA-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-001079-SOLICITUD DE ACOMPA&NtildeAMIENTO Y SOLUCIONES POR PRESUNTA NEGLIGENCIA POR PARTE DE INFIBAGUE A LA PROBLEMATICA PRESENTADA POR MANUEL ANTONIO ESCOBAR COMO PRESIDENTE DE LA JUNTA DEACCION COMUNAL DE LA VEREDA ALTO DE COMBEIMA-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA E-2023-002491-PROCESO DE INVESTIGACION ADMINISTRATIVODISCIPLINARIO Y FISCAL CONTRA YENNY MILENA GONZALEZ CRUZ DIRECTORA DE RENTAS SECRETARIA DE HACIENDA-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-006465-QUEJA CONTRA LA COMISARIA DE FAMILIA 01 DE IBAGUE YOLANDA ROJAS SANCHEZ PRESENTADA POR EL SE&NtildeOR JOHAN DAVID MOSCOSO-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA E-202-739340-COPIA DE OFICIO 2411 DEL 15 DE DICIEMBRE DE 2022 DEL JUZGADO TERCERO DONDE NOTIFICAN FECHA DE LA ETREGA DEL BIEN INMUEBLE UBOCADO EN EL BARRIO GERMAN HUERTAS-PROCURADURIA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
TRASLADO POR COMPETENCIA E-2023-011133-COPIA DE DERECHO DE PETICION ALLEGADO POR LA SE&NtildeORA LEIDY DAYANA PORTELA ZAMORA PARA QUE FORME PARTE DEL RADICADO E-2021-289392-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE CUPOS ESCOLARES ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
MESA DE TRABAJO  14 DE FEBRERO DE 2023 A LAS 6.00 P.M VILLA RICAURTE  COMUNA 12  PROBLEMATICA ESTABLECIMIENTOS NOCTURNOS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA E-2023-011637-QUEJA CONTRA COMISARIA TURNO 2 CAM LA P&OacuteLA PRESENTADA POR EL SE&NtildeOR HERNANDO TORRES GAITAN-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-006999-SOLICITUD DE INVESTIGACION DISCIPLINARIA EN CONTRA DEL DEL IBAL POR LA PROBLEMATICA EN LA REPOSICION DE LA RED DE ALCANTARILLADO BARRIO VARSOVIA-PROCURADURIA ;;;;
TRASLADO POR COMPETENCIA E-2023-014060-SOLICITUD DE INVESTIGACION DISCIPLINARIA EN CONTRA DE LOS COMISARIOS DE FAMILIA NOMBRADOS EN CARGO AL ALCADLDE DE IBAGUE Y EL SECRETARIO DE GOBIERNO-PROCURADURIA ;;PROCESOS;PROCESO DISCIPLINARIO;
TRASLADO POR COMPETENCIA E-2023-017456-QUEJA CONTRA LA DIRECCION DE ESPACIO PUBLICO Y CONTROL URBANO POR EL MAL USO DE ESPACIO Y SUELO EN EL BARRIO VARSOVIA PETICION DE LA SE&NtildeORA ESPERANZA URIBE URIBE-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TRASLADO POR COMPETENCIA E-2023-015611-DENUNCIA CONTRA EMPRESA IBAL  POR LOS PROCESOS DE INVITACION PUBLICA N093 DE 2022 Y 195 DE 2022 ALLEGADO POR LA VEEDURIA TOTAL 824-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-026012-QUEJA CONTRA LA RECTORA Y LA PSICOORIENTADORA POR ACOSO ESCOLAR Y ABUSO DE AUTORIDAD CONTRA EL ESTUDIANTE JUAN JOSE ARAUJO Y SU HERMANA LAURA VALENTINA ARAUJO LOZANO PRESENTADO POR LA SE&NtildeORA LILIANA ANDREA LOZANO PALMA-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-413781-SOLICITUD DE VIGILANCIA PROCESO RAD:73001402200120160034700 DEL JUZGADO 01 CIVIL DEL CIRCUITO  REPRESENTADO POR LA SE&NtildeORA LETICIA GUZMAN-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-028232-QUEJA CONTRA LA SECRETARIA DE TRANSITO  PETICION DEL SE&NtildeOR HELMER GOMEZ BECERRA-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-028712-SOLICITUD DE INFORMACION SOBRE PERMISO PARA CERRAR VIA INSTLACION DE VARA CON CELADURIA PARA EL BARRIO LA HERRADURA PRESENTADA POR LA SE&NtildeORA EDNA MARGARITA SANCHEZ-PROCURADURIA ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;
TRASLADO POR COMPETENCIA E-2023-033518-SOLICITUD PARA QUE SE INVESTIGUE LA EVENTUAL RESPONSABILIDAD DISCIPLINARIA DE LOS MIEMBROS DEL COMITE DE CONCIALIACION DEL MUNICIPIO DE IBAGUE-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA E-2023-036194-PARA QUE HAGAN PARTE DE LAS DILIGENCIAS ENVIADAS MEDIANTE AUTO DEL 10 DE MARZO DE 2021 RADICADO IUS E-2021-079202 IUC D-2021-1774830 POR POSIBLE ESTAFA DEL SE&NtildeOR NESTOR DARIO GUERRERO COMO REPRESENTANTE DE LA MESA MUNICIPAL DE VICTIMAS-PROCURADURIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
FIJACION DE AVISOS PAF:898489858986 Y 8987-CORTOLIMA ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
DEVOLUCION SOLICITUD DE INCRIPCION EN EL RUV-FUD N.BK000620328 JHON HAROLD SALAS MARTINEZ-UNIDAD PARA LAS VICTIMAS ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
COPIA DE OFICIO RV: E-2023-031133-DENUNCIA DE LA SE&NtildeORA MARIA CAROLINA PE&NtildeA BASTIDAS CON RADICADO 730016099355202310711 CONTRA EL SE&NtildeOR TELMO SOTO RIVAS POR PRESUNTA VIOLENCIA INTRAFAMILIAR-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
MEDIO DE CONTROL : REPARACI&OacuteN DIRECTA DEMANDANTE : QUEVIN ESTIVEN CA&Ntilde&OacuteN L&OacutePEZ Y OTROS DEMANDADO : INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR ICBF Y OTROSRADICACI&OacuteN : 73001-33-33-006-2021-00266-00 -JUZGADO SEXTO ADMINISTRATIVO DEL CIRCUITO DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-SOLICITUD DE ENCUESTA DE SISBEN PETICION DE LA SE&NtildeORA LIGIA SALAZAR SALAZAR ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A SECRETARIA DE GOBIERNO-SOLIITUD DE CERTIFICACION DE PRESIDENTE DE JUNTA DE ACCION COMUNAL CIUDADELA COMFENALCO-WILLIAM ALFONSO LOZANO GALEANO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A CORTOLIMA-RESPUESTA RADICADOS DE SALIDA NO. 001-2023 Y NO. 053-2023 ALCALD&IacuteA MUNICIPAL DE CAJAMARCA ADQUISICI&OacuteN LOTE NO.8 POTOS&Iacute CAJAMARCA. MEDIO DE CONTROL NO.73001233300020200048200-PROCURADURIA ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
copia de oficio a nuestra sra de fatima - riesgo para los estudiantes en los trasprts pues no cuentan co seguro los vehiculos - jose edilson pava ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A IBAL-INVITACION A REUNION EL DIA VIERNES 10 DE FEBRERO EN LA CANCHA MULTIPLE DE CIUDADELA SIMON COMFENALCO Y ASI EVITAR EL BLOQUEO DEL 13 DE FEBRERO DE 2023-WILLIAM ALFONSO LOZANO GALEANO ;;;;
COPIA DE OFICIO A ALCALDE DE IBAGUE-AGRADECIMIENTO E INVITACION PARA EL DIA VIERNES 10 DE FEBRERO EN LA CANCHA MULTIPLE DE LA CIUDADLA COMFENALCO PARA TRATAR TEMA DE INCOMFORMIDAD DEL SUMINISTRO DE AGUA-PETICION DEL SE&NtildeOR WILLIAM ALFONSO LOZANO GALEANO ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-SOLICITUD PARA QUE LA CONSTRUCTORA PRABYC INGENIEROS SAS CONTIN&UacuteE DE INMEDIATO Y CON CELERIDAD LA CONSTRUCCI&OacuteN DEL PROYECTO MIRADOR DE LOS ANDES Y CUMPLA CON LO ACORDADO EN LOS CONTRATOS DE COMPRAVENTA-PETICION DE LA SE&NtildeORA MABEL GONZALEZ ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
RESPUESTA OFICIO RADICADO 2023-004197-ACCIONES ADELANTADAS EN LOS BARRIOS CALUCAIMA Y PALMA DE RIO-SECRETARIA DE AMBIENTE Y GESTION DEL RIESGO ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
Referencia  SOLICITUD DE VALORACI&OacuteN DE APOYOS PARA LA SE&NtildeORA LUZ  MILA GOMEZ DE BOTEROSolicitante MARTHA CECILIA BOTERO GOMEZ A favor de  LUZ MILA GOMEZ DE BOTERO -PAOLA ANDREA TAPIAS GARC&IacuteA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
TIPO DE PROCESO : ACCI&OacuteN DE TUTELA ACCIONANTE : SAMUEL ANTONIO CAPERA QUINTERO. ACCIONADO(S) : MINISTERIO DEL INTERIOR -DIRECCI&OacuteN PARA LA DEMOCRACIAPARTICIPACI&OacuteN CIUDADANA Y ACCION COMUNAL ASOJUNTAS COMUNA NO. 11 ALCALD&IacuteA MUNICIPAL DE IBAGU&Eacute -DIRECCI&OacuteN DE PARTICIPACI&OacuteN CIUDADANA Y COMUNITARIA DEFENSOR&IacuteA DEL PUEBLO REGIONAL TOLIMA PERSONER&IacuteA MUNICIPAL DE IBAGUE DIRECCI&OacuteN SECCIONAL TOLIMA DE LA FISCALIA GENERAL DE LA NACI&OacuteN Y MISION OBSERVADORA ELECTORAL M.O.E. VINCULADO : GUSTAVO ANGARITA RODRIGUEZ EX PRESIDENTE DE LA JUNTA ACCION COMUNAL EL BOSQUE PARTE BAJA - COMUNA 11- IBAGUE (T). -JUZGADO PRIMERO CIVIL DEL CIRCUITO ;;TUTELAS;TUTELAS;
COPIA DE OFICIO A LOSDRIGUEL CONSTRUCCIONES S.A.S-SOLICITUD DE REEMBOLSO DE LAS SUMAS CANCELADAS-PETICION DE EL SE&NtildeOR ANDRES DAVID CONDE QUEVEDO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
SOLICITUD DE INTERVENCION ANTE LA UNIDAD DE VICTIMAS-SOLICITUD DE AYUDA HUMANITARIA  PETICION DE LA SE&NtildeORA RUTH DERY BONILLA MENDEZ ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INVITACION OFICIAL AL SEMINARIO NACIONAL EMPALMES POR COLOMBIA TRANSPARENCIA Y DESARROLLO 2023-2024. MEDELL&IacuteN 29 AL 31 DE MARZO-CORPORACI&OacuteN AUT&OacuteNOMA NACIONAL DE GOBIERNO Y AMBIENTECORPOGOBIERNO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO A POBLACION VULNERADA SOLICITUD PARA ASIGNAR UNA COMISION PARA QUE INVESTIGUE LA PRESUNTA VIOLACION DE DERECHOS EN EL CASO DE VASCONIA RESERVADO-PETICION DEL SE&NtildeOR SERGIO FELIPE VI&NtildeA ROJAS PRESIDETE DE JUNTA DE ACCION COMUNAL ;;COMUNICACIONES;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITO DE INTERVENCI&OacuteN A FIN DE LOGRAR QUE LA FISCAL&IacuteA GENERAL CONCLUYA SU LABOR COMO ENTE PERSECUTOR Y HAGA EFECTIVA ANTE EL JUZGADO 6 PENAL DE IBAGU&Eacute LA RESTITUCI&OacuteN DE BIEN INMUEBLE - LUZ MARINA JIMENEZ QUINCHE  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD CERTIFICADO CONTRATOS PRESTACI&OacuteN DE SERVICIOS A&NtildeO 2022-PETICION DE LA CONTRATISTA SHIRLEY KARINE RAMIREZ CORREA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE APOYO Y ACOMPA&NtildeAMIENTO URGENTE-CASO DE EL SE&NtildeOR RAFAEL ALBEIRO HERNANDEZ REGISTRADO COMO VICTIMA DEL CONFLICTO ARMADO QUIEN CONSTRUYO UN ASENTAMIENTO EN LA PORTERIA DEL SENA REGIONAL TOLIMA Y BUSCA AYUDA HUMANITARIA-SENA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO PARA LA UNIVERSIDAD DE IBAGUE   SOLICITUD  APLAZAR EL INGRESO DE ANDRES HERNANDEZ ESPINOSA PARA EL PR&OacuteXIMO SEMESTRE DEL 2023 EN RAZ&OacuteN A SU ESTADO DE SALUD- RADICA  CLAUDIA PATRICIA ESPINOSA VERA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DENUNCIA INSTITUCIONAL Y SOLICITUD MEDIDAS INMEDIATAS PARA LA SE&NtildeORA MARIA DEL PILAR ROMERO - RADICA FUNDACI&OacuteN YAPAWAYRA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
COPIA DE OFICIO A SECRETARIA DE MOVILIDAD-SOLICITUD DE SEGUIMIENTO Y PROTECCION ESPECIAL A PERSONA CON DISCAPACIDAD A LA SE&NtildeORA DIANA PATRICIA ALVAREZ-PETICION DEL SE&NtildeOR JORGE YESID ORTIZ PERDOMO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
 RAD IBAL 0663 DEL 17 DE  ENERO DEL 2023 AGOTAMIENTO DE PROCEDIBILIDAD RAD IBAL 0663 DEL 17 DE ENERO DEL 2023 DE AGOTAMIENTO DE PROCEDIBILIDAD DE INSTALACION DE REDES DE ALCANTARILLADO DE AGUAS LLUVIAS EN EL SECTOR DE APARCO - RADICA IBAL  ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
COMUNICACI&OacuteN RESOLUCI&OacuteN NO. 2000-0230 DEL 03 DE FEBRERO 2023- RADICA SECRETARIA DE AMBIENTE Y GESTI&OacuteN DEL RIESGO ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
TRASLADO POR COMPETENCIA-ASUNTO: REMISI&OacuteN POR COMPETENCIA PROCESO: EJECUTIVO RADICADO: 73001418900220200026900. DEMANDANTE: BANCOLOMBIA S.A.DEMANDANDO: JOS&Eacute FERNANDO ROND&OacuteN ESPINOSA DESPACHO: JUZGADO 002 DE PEQUE&NtildeAS CAUSAS Y COMPETENCIA M&UacuteLTIPLE DE IBAGU&Eacute-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
RESPUESTA  SOLICITUD DE ACTIVACION DE RUT DE PROTECCION SE&NtildeOR WILMAR JOSE DE LA ROSA PINO- SECRETARIA DE GOBIERNO  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACTUACIONES ANTE EL PROCESO DENUNCIADO Y COPIA D ACTOS ADMINISTRATIVOS QUE LLEVAN CON RADICADO 2022-10-4434 OFICIO V.A.G.P 1284-PETICION DEL SE&NtildeOR JUAN CAMILO MENESES RUBIO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
COPIA DERECHO DE PETICI&OacuteN QUEJA FUNCIONAMIENTO BARES SECTOR SAN PABLO- ANDREA CATALINA MACHADO GUZMAN ;;INTERVENCIONES ANTE LAS DISTINTAS INSTITUCIONES DE LA ADMINISTRACION MUNICIPAL;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INVITACION  MESA DE TRABAJO PARA EL DIA 14 DE FEBRERO EN VILLA RICAURTE CON EL FIN DE TRATAR PROBELAMTICA ENLOS RESIDENTES DEL SECTOR POR ESTABLECIMIENTOS NOCTURBOS-LISANDRO TRUJILLO ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
INFORME MENSUAL LICENCIAS OTORGADAS MES DE ENERO 2023- CURADURIA URBANA UNO  ;;COMUNICACIONES;COMUNICACI&OacuteN EXTERNA;
INFORMACION DE SITUACION DE HACINAMIENTO ACTUAL EN LA PERMANENTE CENTRAL 480%-METIB ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE APOYO PARA CONTINUACION DE DILIGENCIA DE ENTREGA DEL BIEN INMUEBLE - DESPACHO COMISORIO N 014 DEL JUZGADO SEGUNDO DE PEQUE&NtildeAS CAUSAS Y COMPETENCIA MULTIPLE DE IBAGUE A FIN DE REALIZAR CONTINUACION DE LA DILIGENCIA DE ENTREGA DE INMUEBLE UBICADO EN LA ubicado en la MANZANA 84 CASA 2URBANIZACION JORDAN SEPTIMA ETAPA PARA EL DIA 14 DE FEBRERO DE 2023-PERMANENTE CENTRAL DE POLICIA TURNO DOS  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE ACOMPA&NtildeAMIENTO PROCEDIMIENTOS POLICIALES -VERIFICACIONES PREVIAS A LOS ELEMENTOS DE DOTACION MOTIVO DE LA REALIZACION DEL PARTIDO DE FUTBOL LIGA BETPLAY DIA 12 DE FEBRERO DE 2023-POLICIA METROPOLITANA DE IBAGUE ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD INFORMACI&OacuteN POSIBLE VULNERACI&OacuteN A LA SEGURIDAD LIBERTAD E INTEGRIDAD PERSONAL A FIN DE QUE &EacuteSTA SIRVA COMO ANTECEDENTE ORIENTADOR CON EL PROP&OacuteSITO DE TOMAR ALGUNA MEDIDA DE PROTECCI&OacuteN Y SEGURIDAD - MINISTERIO DEL INTERIOR  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION ANTE LA SECRETARIA DE MOVILIDAD-QUEJA CONTRA FUNCIONARIO ANDERSSON POR NO DAR RESPUESTA A PETICIONES MAL TRATO Y MALA GESTION EN SU LABOR-PETICION DE LA SE&NtildeORA CAROLINA JARAMILLO JIMENEZ ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
DERECHO DE PETICI&OacuteN SOLICITUD DE TRASLADO PARA ENTRENAMIENTOS DE TENIS DE MESA PARA PERSONAS CON MOVILIDAD REDUCIDA (PROBLEMAS DE INCLUSI&OacuteN EN EL SISTEMA DE TRANSPORTE DE LA CIUDAD DE IBAGU&Eacute)- JEAN MICHELL LEGUIZAM&OacuteN ROMERO ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
TRASLADO POR COMPETENCIA-SOLICITUD DE VIGILANCIA DE LA DENUNCIA PENAL ASIGNADO A LA FISCALIA 78 CON RADICADO 730016099355202310104 POR FALSEDAD EN DOCUMENTO PRIVADO CONTRA SINDICADO: HEBER MAURICIO MAYORGA ABOGADO DE LUIS EDUIN RODRIGUEZ-PROCURADURIA ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD COPIA DE CERTIFICACI&OacuteN DESPLAZADO DE EL SE&NtildeOR ANDRES CAMILO CASTA&NtildeO - POLICIA NACIONAL  ;;DERECHOS DE PETICION QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;DERECHOS DE PETICI&OacuteN QUEJAS RECLAMOS SUGERENCIAS Y DENUNCIAS;
SOLICITUD DE INTERVENCION A QUIEN CORRESPONDA-SOLICITUD DE ACOMPA&NtildeAMIENTO ACOSO POR PARTE DE FUNCIARIOS PUBLICOS DE LA ALCALDIA DE IBAGUE-PETICION DE LA SE&NtildeORA LUISA FERNANDA VALENCIA ;;SEGUIMIENTO A LA GESTION PUBLICA ;SEGUIMIENTO A LA GESTION PUBLICA ;
RESPUESTA A RADICADO EN EL IBAL 808 DEL 19 DE ENERO DE 2023 DSPECUMA 60 DEL 19 DE ENERO DE 2023-PROGRAMACION DE VISITA EN EL MES DE MARZO N EL BARRIO CARMENZA ROCHA-IBAL ;;RESPUESTAS A SOLICITUDES;RESPUESTAS A SOLICITUDES;
